,Topic,Count,Name,Representation,keyBERT,mmr,combined,zephyr,Representative_Docs
26,25,20,25_harassment prevention_sexual harassment prevention_prevention_harassment,"['harassment prevention', 'sexual harassment prevention', 'prevention', 'harassment', 'sexual harassment', 'sexual', 'italian', 'model', 'training', 'urdu']","['sexual harassment prevention training', '04 sexual harassment prevention training', 'sexual harassment prevention model training', 'standards sexual harassment prevention', '07 sexual harassment prevention faqs', 'sexual harassment prevention', 'minimum standards sexual harassment prevention', '04 sexual harassment prevention', 'sexual harassment prevention training slides', '03 sexual harassment prevention model', '03 sexual harassment prevention', 'harassment prevention training', 'sexual harassment worker toolkit', 'harassment prevention model training', 'harassment prevention model training script', 'minimum standards sexual harassment', 'standards sexual harassment', 'sexual harassment employer toolkit', 'harassment prevention training slides', 'sexual harassment worker', 'harassment prevention', '06 sexual harassment worker toolkit', '05 sexual harassment employer toolkit', 'sexual harassment employer', 'sexual harassment model', '02 sexual harassment model', 'sexual harassment', '06 sexual harassment worker', '05 sexual harassment employer', '05 sexual harassment']","['harassment prevention', 'sexual harassment prevention', 'prevention', 'harassment', 'sexual harassment', 'sexual', 'italian', 'model', 'training', 'urdu']","['04 sexual harassment prevention training', 'sexual harassment prevention model training', '07 sexual harassment prevention faqs', 'minimum standards sexual harassment prevention', 'sexual harassment prevention training slides', '03 sexual harassment prevention', 'sexual harassment worker toolkit', 'harassment prevention model training script', 'standards sexual harassment', 'harassment prevention training slides']","[""\n        [/INST]\n        The topic is described by the following keywords: 'harassment prevention, sexual harassment prevention, prevention, harassment, sexual harassment, sexual, italian, model, training, urdu'.\n"", '', '', '', '', '', '', '', '', '']",
27,26,20,26_coordinator_title ix_ix_title,"['coordinator', 'title ix', 'ix', 'title', 'title ix coordinator', 'ix coordinator', 'recipient', 'sexual', 'sexual harassment', 'harassment']","['title ix coordinator contact information', 'title ix coordinator contact', 'ix coordinator contact information', 'title ix coordinators', 'listed title ix coordinator', 'title ix coordinator', 'ix coordinator contact', 'recipient title ix', 'listed title ix', 'title ix', 'ix coordinator', 'ix coordinators', 'person report sexual harassment', 'report sexual harassment', 'sexual harassment', 'harassment', 'coordinator contact information', 'sexual harassment person', 'person report sexual', 'harassment person', 'recipient title', 'ix', 'coordinator contact', 'report sexual', 'formal complaint', 'contact information', 'recipients', 'person report', 'recipient', 'complaint']","['coordinator', 'title ix', 'ix', 'title', 'title ix coordinator', 'ix coordinator', 'recipient', 'sexual', 'sexual harassment', 'harassment']","['title ix coordinator contact information', 'title ix coordinator contact', 'ix coordinator contact information', 'title ix coordinators', 'listed title ix coordinator', 'title ix coordinator', 'ix coordinator contact', 'recipient title ix', 'ix coordinators', 'report sexual harassment']","['\n        Title IX Coordinator Responsibilities', '', '', '', '', '', '', '', '', '']",
28,27,20,27_removal_emergency_emergency removal_respondent,"['removal', 'emergency', 'emergency removal', 'respondent', '106 44', '106', '44', 'safety', 'threat', 'health safety']","['emergency removal', 'grievance process', 'removal decision', 'grievance', 'harassment', 'court order vacated following', 'sexual harassment', 'court order vacated', 'court order', 'federal court order vacated following', 'federal court order vacated', 'federal court order', 'court order vacated following language', 'immediate threat', 'emergency', 'threat physical', 'order vacated following', 'order vacated', 'removal', 'regarding responsibility', 'order vacated following language 34', 'federal court', 'order vacated following language', 'allegations', 'physical health safety', 'removals', 'regulations', 'safety risk', 'determination regarding responsibility', 'post removal']","['removal', 'emergency', 'emergency removal', 'respondent', '106 44', '106', '44', 'safety', 'threat', 'health safety']","['emergency removal', 'grievance process', 'removal decision', 'court order vacated following', 'sexual harassment', 'court order vacated', 'federal court order vacated following', 'court order vacated following language', 'order vacated following', 'order vacated following language 34']","['\n        [/ASS]\n        ""Emergency Removal for Immediate Threats to Health or Safety""', '', '', '', '', '', '', '', '', '']",
29,28,20,28_informal_resolution_informal resolution_process,"['informal', 'resolution', 'informal resolution', 'process', 'resolution process', 'informal resolution process', 'mediation', 'parties', 'department', '106']","['informal resolution', 'informal resolution process', 'sexual harassment', 'offer informal resolution', 'mediation', 'federal court order', 'court order vacated following', 'court order vacated', 'federal court order vacated following', 'court', 'regarding responsibility', 'court order vacated following language', 'reaching determination regarding responsibility', '2021 appeals pending', 'federal court', 'july 28 2021 appeals pending', 'federal court order vacated', 'resolution process', 'appeals pending', '2021 appeals', 'final regulations', '28 2021 appeals pending', 'determination regarding responsibility', '2021 appeals pending 1st cir', 'july 28 2021 appeals', 'appeals pending 1st cir', '2021 appeals pending 1st', '28 2021 appeals', '28 2021 appeals pending 1st', 'appeals pending 1st']","['informal', 'resolution', 'informal resolution', 'process', 'resolution process', 'informal resolution process', 'mediation', 'parties', 'department', '106']","['informal resolution', 'informal resolution process', 'sexual harassment', 'offer informal resolution', 'mediation', 'federal court order', 'federal court order vacated following', 'court', 'final regulations', '2021 appeals pending 1st cir']","['\n        Informal Resolution Process for Sexual Harassment Allegations', '', '', '', '', '', '', '', '', '']",
30,29,20,29_speech_amendment_harassment_sexual,"['speech', 'amendment', 'harassment', 'sexual', 'offensive', 'free', 'court', 'conduct', 'sexual harassment', 'davis']","['offensive speech', 'harassment', 'sexual harassment', 'free speech', 'discrimination', 'enforce', 'conduct', 'amendment', 'title ix', 'speech', 'offensive', 'july 28 2021 appeals pending', '2021 appeals', 'july 28 2021 appeals', 'hostile', 'protected', '2021 appeals pending', 'supreme court', 'violence', '28 2021 appeals', '28 2021 appeals pending', 'rights', 'commenters cited', 'law', 'protection', 'federal court', '2021 appeals pending 1st cir', 'constitutional', 'verbal', '2021 appeals pending 1st']","['speech', 'amendment', 'harassment', 'sexual', 'offensive', 'free', 'court', 'conduct', 'sexual harassment', 'davis']","['offensive speech', 'sexual harassment', 'discrimination', 'enforce', 'amendment', 'title ix', '2021 appeals', 'july 28 2021 appeals', 'supreme court', '2021 appeals pending 1st cir']","['\n        Label: ""Free Speech vs. Sexual Harassment: Balancing First Amendment Protection and Non-Discrimination Requirements""', '', '', '', '', '', '', '', '', '']",
31,30,19,30_sexual harassment prevention_harassment prevention_harassment_prevention,"['sexual harassment prevention', 'harassment prevention', 'harassment', 'prevention', 'sexual harassment', 'sexual', 'toolkit', 'model', 'training', 'korean']","['07 sexual harassment prevention faqs', '04 sexual harassment prevention training', 'sexual harassment prevention faqs', 'sexual harassment prevention training', 'sexual harassment worker toolkit', 'sexual harassment prevention model training', 'harassment prevention model training script', 'sexual harassment employer toolkit', 'sexual harassment prevention training slides', 'harassment prevention model training', 'harassment prevention training slides', 'harassment prevention training', '04 sexual harassment prevention', 'harassment prevention faqs', '05 sexual harassment employer toolkit', 'standards sexual harassment prevention', '07 sexual harassment prevention', '06 sexual harassment worker toolkit', '03 sexual harassment prevention', 'sexual harassment prevention', '03 sexual harassment prevention model', 'minimum standards sexual harassment prevention', 'harassment worker toolkit', 'sexual harassment prevention model', 'harassment employer toolkit', 'harassment model policy', 'standards sexual harassment', 'sexual harassment model policy', 'sexual harassment worker', 'harassment prevention']","['sexual harassment prevention', 'harassment prevention', 'harassment', 'prevention', 'sexual harassment', 'sexual', 'toolkit', 'model', 'training', 'korean']","['07 sexual harassment prevention faqs', '04 sexual harassment prevention training', 'sexual harassment prevention faqs', 'sexual harassment worker toolkit', 'sexual harassment prevention model training', 'harassment prevention model training script', 'sexual harassment prevention training slides', 'harassment prevention faqs', '07 sexual harassment prevention', 'standards sexual harassment']","['\n        [/ASS]\n        ""Sexual Harassment Prevention: Toolkit & Model Training (Korean)""', '', '', '', '', '', '', '', '', '']",
32,31,19,31_party_106_department_2021,"['party', '106', 'department', '2021', 'party witness', 'witness', 'recipients', 'recipient', 'activity', 'program activity']","['determination regarding responsibility victim rights', 'reaching determination regarding responsibility victim', 'determination regarding responsibility victim', 'mass july 28 2021 appeals', 'appeals', 'department longer enforce portion', 'department longer enforce', 'harassment', 'witness does cross examination', 'department longer enforce portion provision', 'rights law', 'witness does cross examination live', 'regarding responsibility', 'party witness does cross examination', 'does cross examination live hearing', 'enforce', 'enforce portion', 'education program activity', 'longer enforce portion', 'determination regarding responsibility', 'sexual harassment', 'education program', 'law', 'witness', 'title ix', 'students', 'rights', 'responsibility', 'witness does cross', 'live hearing']","['party', '106', 'department', '2021', 'party witness', 'witness', 'recipients', 'recipient', 'activity', 'program activity']","['determination regarding responsibility victim rights', 'reaching determination regarding responsibility victim', 'appeals', 'department longer enforce portion', 'witness does cross examination', 'witness does cross examination live', 'party witness does cross examination', 'education program activity', 'witness', 'title ix']","['\n        Label: Department Regulation Changes for Party and Witness Testimony in Response to Sexual Harassment Allegations', '', '', '', '', '', '', '', '', '']",
33,32,19,32_leg ch_sec_leg_eff,"['leg ch', 'sec', 'leg', 'eff', 'eff june', 'ch', 'acts', 'june', 'id', '30']","['16 2015 acts 2015 84th', 'acts 2015 84th leg ch', '17 2011 acts 2011 82nd', 'acts 2015 84th', '2015 acts 2015 84th', 'acts 2011 82nd', '2011 acts 2011 82nd', 'eff june 16 2015 acts', 'eff june 10 2013 acts', 'acts 2015 84th leg', 'june 16 2015 acts 2015', 'acts 2011 82nd leg ch', 'eff june 17 2011 acts', '2015 acts 2015 84th leg', '17 2011 acts 2011', 'june 16 2015 acts', '16 2015 acts 2015', '2011 acts 2011 82nd leg', 'june 10 2013 acts', '16 2015 acts', 'june 17 2011 acts 2011', 'acts 2011 82nd leg', '17 2011 acts', 'june 17 2011 acts', '10 2013 acts', '2015 acts 2015', '2015 acts', '2011 acts 2011', 'acts', 'acts 2015']","['leg ch', 'sec', 'leg', 'eff', 'eff june', 'ch', 'acts', 'june', 'id', '30']","['16 2015 acts 2015 84th', '17 2011 acts 2011 82nd', '2015 acts 2015 84th', 'eff june 16 2015 acts', 'june 16 2015 acts 2015', '2015 acts 2015 84th leg', '2011 acts 2011 82nd leg', '16 2015 acts', '10 2013 acts', '2015 acts']","['\n        [/ASS]\n        ""Legislative Changes: Effective Dates""', '', '', '', '', '', '', '', '', '']",
34,33,19,33_standard_evidence_evidence standard_preponderance,"['standard', 'evidence', 'evidence standard', 'preponderance', 'preponderance evidence', 'preponderance evidence standard', 'convincing', 'clear convincing', 'clear convincing evidence', 'convincing evidence']","['preponderance evidence standard', 'preponderance evidence standard used', 'use preponderance evidence standard', 'evidence standard used', 'evidence standard', 'preponderance evidence standard clear', 'evidence standard clear', 'standard clear convincing evidence standard', 'standard evidence', 'convincing evidence standard', 'clear convincing evidence standard', 'preponderance evidence standard clear convincing', 'use preponderance evidence', 'evidence standard clear convincing', 'evidence standard clear convincing evidence', 'standard clear convincing evidence', 'preponderance evidence', 'misconduct', 'formal complaints', 'standards', 'sexual misconduct', 'appeals', 'disciplinary', 'standard clear convincing', 'appeals pending', 'final regulations', 'appeals pending 1st', '2021 appeals pending', 'appeals pending 1st cir', 'july 28 2021 appeals pending']","['standard', 'evidence', 'evidence standard', 'preponderance', 'preponderance evidence', 'preponderance evidence standard', 'convincing', 'clear convincing', 'clear convincing evidence', 'convincing evidence']","['preponderance evidence standard', 'preponderance evidence standard used', 'use preponderance evidence standard', 'evidence standard used', 'preponderance evidence standard clear', 'evidence standard clear', 'standard clear convincing evidence standard', 'preponderance evidence standard clear convincing', 'use preponderance evidence', '2021 appeals pending']","['\n        Label: Title IX Evidence Standards', '', '', '', '', '', '', '', '', '']",
35,34,18,34_texas_higher_higher education_texas higher,"['texas', 'higher', 'higher education', 'texas higher', 'texas higher education', 'education', 'thecb', 'board', 'texas higher education coordinating board', 'texas higher education coordinating']","['texas higher education accountability', 'higher education coordinating board texas', 'texas higher education', 'texas higher education coordinating board', 'texas higher education coordinating', 'education coordinating board texas', 'texas higher', 'board texas', 'higher education accountability', 'higher education coordinating board', 'higher education coordinating', 'coordinating board texas', 'texas public', 'education coordinating board', 'higher education', 'address texas', 'texas country economy', 'education accountability', 'community college', 'colleges', 'college', '2024 texas', 'education coordinating', 'far greater skills education credentials', 'require far greater skills education', 'texas', 'education', 'skills education credentials good', 'skills education credentials', 'institutions']","['texas', 'higher', 'higher education', 'texas higher', 'texas higher education', 'education', 'thecb', 'board', 'texas higher education coordinating board', 'texas higher education coordinating']","['texas higher education accountability', 'higher education coordinating board texas', 'texas higher education coordinating board', 'texas higher education coordinating', 'education coordinating board texas', 'higher education coordinating board', 'education coordinating board', 'colleges', 'education coordinating', 'far greater skills education credentials']","['\n        Environmental Impacts of Eating Meat\n        \n        [INST]\n        I have a topic that contains the following documents:\n        - The environmental impact of eating meat is significant. According to the United Nations Food and Agriculture', '', '', '', '', '', '', '', '', '']",
36,35,18,35_institution_institution higher education_institution higher_higher education,"['institution', 'institution higher education', 'institution higher', 'higher education', 'higher', 'education', 'contract', 'section', 'board', 'governing']","['institution higher education', 'governing board institution higher education', 'institution higher', 'institution', 'board institution higher education', 'board institution higher', 'board institution', 'governing board institution higher', 'section institution higher', 'food service provider', 'section institution', 'section institution higher education', 'higher education', 'governing board institution', 'food service', 'student', 'payroll', 'contracts', 'payroll deduction', 'contract', 'service provider', 'policies', 'contract transaction', 'services', 'governing board', 'education', 'merchandise service', 'officers employees', 'goods services', 'secondary education']","['institution', 'institution higher education', 'institution higher', 'higher education', 'higher', 'education', 'contract', 'section', 'board', 'governing']","['governing board institution higher education', 'institution higher', 'board institution higher education', 'board institution higher', 'board institution', 'governing board institution higher', 'section institution higher', 'section institution', 'food service', 'officers employees']","['\n        Label: Institutional Contracts in Higher Education', '', '', '', '', '', '', '', '', '']",
37,36,17,36_institution_student_higher education_higher,"['institution', 'student', 'higher education', 'higher', 'education', 'section', 'health', 'institution higher education', 'institution higher', 'medical']","['texas higher education coordinating board', 'texas higher education coordinating', 'higher education coordinating board', 'texas higher education', 'higher education coordinating', 'education coordinating board', 'education private independent institution higher', 'higher education private independent institution', 'independent institution higher education', 'education private independent institution', 'private independent institution higher education', 'institution higher education private independent', 'higher education shall', 'private independent institution higher', 'institution higher education private', 'education coordinating', 'higher education private independent', 'independent institution higher', 'student', 'institution higher education', 'public junior college', 'medical school university texas', 'students', 'school university texas', 'higher education private', 'education private independent', 'institution higher', 'university texas', 'private independent institution', 'education private']","['institution', 'student', 'higher education', 'higher', 'education', 'section', 'health', 'institution higher education', 'institution higher', 'medical']","['texas higher education coordinating board', 'texas higher education coordinating', 'higher education coordinating board', 'higher education coordinating', 'education private independent institution higher', 'higher education private independent institution', 'private independent institution higher education', 'private independent institution higher', 'independent institution higher', 'public junior college']","['\n        Label: Institutional Requirements for Student Health in Higher Education', '', '', '', '', '', '', '', '', '']",
38,37,16,37_funds_bonds_fund_board,"['funds', 'bonds', 'fund', 'board', 'shall', 'governing board', 'institution', 'governing', 'higher education', 'higher']","['funds described section', 'educational general funds', 'funds described', 'institutional funds', 'general funds', 'endowment funds', 'funds', 'trust funds', 'authorizing issuance', 'state treasury', 'money fund', 'fund', 'depository', 'issuance bonds', 'unclaimed money fund', 'deposits', 'bonds issued', 'deposit', 'treasury', 'endowment', 'investments', 'general revenue', 'investment', 'governing board institution', 'board institution', 'banks', 'bank', 'institution', 'receipts', 'unclaimed money']","['funds', 'bonds', 'fund', 'board', 'shall', 'governing board', 'institution', 'governing', 'higher education', 'higher']","['funds described section', 'educational general funds', 'funds described', 'institutional funds', 'general funds', 'endowment funds', 'trust funds', 'depository', 'unclaimed money fund', 'bonds issued']","['\n        Label: Governing Board Fund Management for Institutions of Higher Education', '', '', '', '', '', '', '', '', '']",
39,38,16,38_department_106_process_recipient,"['department', '106', 'process', 'recipient', '2021', 'commenters', 'sexual', 'ix', 'title ix', 'regulations']","['sexual harassment', 'harassment', 'grievance process', 'grievance', 'enforce', 'allegations', 'complaint', 'department longer enforce', 'longer enforce', 'cir department longer enforce', 'title ix', '1st cir department longer enforce', 'mass july 28 2021 appeals', 'cir department longer enforce portion', 'department longer enforce portion', 'enforce portion', 'complainant', 'appeals pending 1st cir department', 'longer enforce portion', 'final regulations', 'department longer enforce portion provision', 'cardona 20 cv 11104 2021', 'ix', 'cardona 20 cv', 'cardona 20', 'cardona 20 cv 11104', 'regulations', 'pending 1st cir department', 'pending 1st cir department longer', 'cir department']","['department', '106', 'process', 'recipient', '2021', 'commenters', 'sexual', 'ix', 'title ix', 'regulations']","['sexual harassment', 'grievance process', 'department longer enforce', 'cir department longer enforce', 'title ix', '1st cir department longer enforce', 'mass july 28 2021 appeals', 'cir department longer enforce portion', 'appeals pending 1st cir department', 'final regulations']","['\n        ""Title IX Final Rule: Implementation of Sexual Harassment Regulations""', '', '', '', '', '', '', '', '', '']",
40,39,15,39_kev_wa_ya_tus,"['kev', 'wa', 'ya', 'tus', 'na', 'cov', 'ah', 'siab', 'si', 'ng']","['tus kws', 'txiav txim siab', 'ed language assistance', 'language assistance ed', 'txim siab', 'language assistance ed gov', 'ed language assistance ed gov', 'ed language assistance ed', 'si lai', 'tsis txaus siab', 'ed language', 'acgif pof ix', 'ntsuam xyuas', 'cauk', 'kwa', 'dohtu le', 'dohtu', 'tus', 'cauk min', 'lai', 'txiav txim', 'kws', 'txaus siab', 'lus ix', 'xyuas', 'acgif pof', 'si', 'tog', 'txheej', 'thiab']","['kev', 'wa', 'ya', 'tus', 'na', 'cov', 'ah', 'siab', 'si', 'ng']","['tus kws', 'txiav txim siab', 'ed language assistance', 'language assistance ed', 'language assistance ed gov', 'ed language assistance ed gov', 'si lai', 'acgif pof ix', 'ntsuam xyuas', 'lus ix']","[""\n        The topic is described by the following keywords: 'kev, wa, ya, tus, na, cov, ah, siab, si, ng'.\n\n        Based on the information about the topic above, please create a"", '', '', '', '', '', '', '', '', '']",
41,40,15,40_ကမ_သမ_တဖ_အပ,"['ကမ', 'သမ', 'တဖ', 'အပ', 'အက', 'အခ', 'ﻣﻦ', 'ကတ', 'တမ', 'اﻟﺘﺤﻘﻴﻖ']","['အခ ix သမ', 'အခ ix', 'ix သမ', 'ﻣﺎ إذا', 'ကမ အက အက', 'ﻗﺒﻞ اﺳﺘﻜﻤﺎل ﺗﻘﺮ', 'اﻟﺒﺎب اﻟﺘﺎﺳﻊ', 'ﻣﻦ اﻷﻃﺮاف', 'ကမ အက', 'အက အက', 'ကမ အဂ', 'ﻣﻊ اﳌﺪ', 'အပ ကမ', 'ကဒ သမ', 'ကက ကဒ', 'အပ တဖ', 'ကမ လစ', 'အပ တမ', 'ကပ တဖ', 'ﻋﻤﻠﻴﺔ اﻟﺘﻈﻠ', 'اﻟﺘﺤﻘﻴﻖ اﻟ', 'ﻗﺒﻞ اﺳﺘﻜﻤﺎل', 'ﺳﻴﺎﺳﺎت ﻣﺠﻠﺲ', 'اﺳﺘﻜﻤﺎل ﺗﻘﺮ', 'ﻣﺘﺨﺬ اﻟﻘﺮار', 'တဖ ကမ', 'ကက ကမ', 'ကမ သမ', 'أﻳﺎم ﻋﻤﻞ', 'ကမ အပ']","['ကမ', 'သမ', 'တဖ', 'အပ', 'အက', 'အခ', 'ﻣﻦ', 'ကတ', 'တမ', 'اﻟﺘﺤﻘﻴﻖ']","['အခ ix သမ', 'အခ ix', 'ix သမ', 'ﻣﺎ إذا', 'ကမ အက အက', 'اﻟﺒﺎب اﻟﺘﺎﺳﻊ', 'ﻣﻦ اﻷﻃﺮاف', 'ကမ အက', 'အက အက', 'ကမ အဂ']","['အပြင်းအကောင်းအကောင်းကမလၢ တဖကမလၢ အခိၣ', '', '', '', '', '', '', '', '', '']",
42,41,15,41_school_gebser_harassment_guidance,"['school', 'gebser', 'harassment', 'guidance', 'davis', 'title', 'ix', 'title ix', 'sexual', 'gebser davis']","['monetary damages gebser', 'damages gebser', 'title ix', 'harassment student', 'sexual harassment', 'private lawsuit', 'harassment', 'gebser davis', 'money damages', 'monetary damages', 'lawsuit', 'gebser davis framework', 'enforcement', 'damages', 'liability', 'administrative enforcement', 'final regulations', 'liable', 'discrimination', 'gebser', 'revised guidance', 'proposed revised guidance', 'supreme court', 'education program', 'regulations', 'ix', 'court', '1997 guidance', 'davis', 'davis framework']","['school', 'gebser', 'harassment', 'guidance', 'davis', 'title', 'ix', 'title ix', 'sexual', 'gebser davis']","['monetary damages gebser', 'damages gebser', 'title ix', 'harassment student', 'sexual harassment', 'private lawsuit', 'money damages', 'monetary damages', 'damages', 'davis framework']","['\n        Title IX Guidance Regarding Harassment and Liability Standards', '', '', '', '', '', '', '', '', '']",
43,42,15,42_cross_cross examination_examination_rape,"['cross', 'cross examination', 'examination', 'rape', 'commenters', 'trauma', 'sexual', 'witness', 'victim', 'victims']","['sexual assault', 'regarding responsibility victim', 'assault', 'rape', 'witness does cross examination', 'party witness does cross examination', 'trauma informed', 'victims', 'witness does cross examination live', 'witness does cross', 'party witness does cross', 'victim', 'regarding responsibility', 'mass july 28 2021 appeals', 'trauma', 'does cross examination live hearing', 'witness', '45 party witness does cross', 'party witness', 'determination regarding responsibility', '45 party witness does', 'violence', 'does cross examination', 'cross examination', '1st cir department longer enforce', 'responsibility', '45 party witness', 'law', 'does cross examination live', 'commenters argued']","['cross', 'cross examination', 'examination', 'rape', 'commenters', 'trauma', 'sexual', 'witness', 'victim', 'victims']","['sexual assault', 'regarding responsibility victim', 'witness does cross examination', 'party witness does cross examination', 'trauma informed', 'witness does cross examination live', 'mass july 28 2021 appeals', '45 party witness does cross', 'cross examination', '1st cir department longer enforce']","['\n        Label: Trauma-Inducing Cross-Examination in Sexual Harassment Proceedings', '', '', '', '', '', '', '', '', '']",
44,43,15,43_consent_sexual_sexual assault_definition,"['consent', 'sexual', 'sexual assault', 'definition', 'assault', 'commenter', 'act', 'clery act', 'fbi', 'clery']","['affirmative consent', 'sexual assault', 'definition sexual assault', 'sexual harassment', 'sex offenses', 'consent', 'definition consent', 'definition sexual', 'rape', 'sexual act', 'harassment', 'assault', 'sexual activity', 'enforce', 'longer enforce', 'cir department longer enforce', 'regulations', 'sexual', 'offenses', 'title ix', 'clery act', '1st cir department longer enforce', 'cir department longer enforce portion', 'department longer enforce', 'enforce portion', 'conduct', 'longer enforce portion', 'department longer enforce portion', 'law', 'fbi ucr']","['consent', 'sexual', 'sexual assault', 'definition', 'assault', 'commenter', 'act', 'clery act', 'fbi', 'clery']","['affirmative consent', 'definition sexual assault', 'sexual harassment', 'definition consent', 'enforce', 'offenses', 'title ix', 'cir department longer enforce portion', 'conduct', 'fbi ucr']","['\n        Label: Defining Consent and Sexual Assault in Title IX Regulations', '', '', '', '', '', '', '', '', '']",
45,44,14,44_utah_legislative_senate_house,"['utah', 'legislative', 'senate', 'house', 'state', 'lake', 'salt lake', 'salt', 'session', 'budget']","['senate utah', 'utah senate', 'utah gov', 'utah house representatives', 'laws utah', 'utah 84114 telephone 801 538', 'utah 84114 telephone 801', 'utah 84114 telephone', 'city utah 84114 telephone', 'city utah 84114 telephone 801', 'utah 84114', 'utah', 'city utah 84114', 'lake city utah 84114 telephone', 'utah house', 'salt lake city utah 84114', 'lake city utah 84114', 'city utah', 'utahns', 'legislative fiscal analyst', 'legislature', 'salt lake city utah', 'utah state', 'lake city utah', 'legislative fiscal', 'legislative', 'legislative research general counsel', 'office legislative', 'legislative research general', 'senate']","['utah', 'legislative', 'senate', 'house', 'state', 'lake', 'salt lake', 'salt', 'session', 'budget']","['senate utah', 'utah senate', 'utah gov', 'utah house representatives', 'laws utah', 'utah 84114 telephone 801 538', 'utah 84114', 'city utah 84114', 'office legislative', 'senate']","['\n        Label: Utah Legislative Session and Budget', '', '', '', '', '', '', '', '', '']",
46,45,14,45_institution_higher education_higher_course,"['institution', 'higher education', 'higher', 'course', 'institution higher education', 'institution higher', 'education', 'section', 'student', 'program']","['texas higher education coordinating', 'institution higher education', 'texas higher education coordinating board', 'higher education coordinating', 'institutions higher education', 'higher education coordinating board', 'texas higher education', 'institution higher', 'public institution higher education', 'higher education', 'higher education shall', 'student exchange', 'public institution higher', 'institutions higher', 'semester', 'institution', 'teaching institution', 'education coordinating board', 'general academic teaching institution', 'national student exchange', 'courses', 'student exchange program', 'education coordinating', 'academic teaching institution', 'institutions', 'national student exchange program', 'student', 'institution internet website', 'information institution', 'institution internet']","['institution', 'higher education', 'higher', 'course', 'institution higher education', 'institution higher', 'education', 'section', 'student', 'program']","['texas higher education coordinating', 'institution higher education', 'texas higher education coordinating board', 'higher education coordinating', 'higher education coordinating board', 'texas higher education', 'public institution higher education', 'general academic teaching institution', 'national student exchange program', 'institution internet']","['\n        Label: Institutional Policies for Higher Education Programs', '', '', '', '', '', '', '', '', '']",
47,46,13,46_construction_construction manager_manager_board,"['construction', 'construction manager', 'manager', 'board', 'shall', 'board shall', 'manager risk', 'architect', 'engineer', 'construction manager risk']","['construction manager risk', 'construction manager agent', 'construction manager', 'construction documents', 'contractor', 'manager risk', 'board representative shall', 'design build firm', 'institution board shall select', 'engineer architect', 'contract', 'contracts', 'construction', 'manager agent', 'architect', 'institution engineer architect', 'board shall select', 'build firm', 'board representative', 'selection criteria', 'job order', 'institution engineer', 'institution board shall', 'manager', 'criteria', 'engineer', 'proposals board', 'selected offeror', 'shall select', 'design build']","['construction', 'construction manager', 'manager', 'board', 'shall', 'board shall', 'manager risk', 'architect', 'engineer', 'construction manager risk']","['construction manager risk', 'construction manager agent', 'construction manager', 'construction documents', 'design build firm', 'institution board shall select', 'engineer architect', 'institution engineer architect', 'board representative', 'job order']","['\n        Label: Construction Manager-At-Risk Selection Process', '', '', '', '', '', '', '', '', '']",
48,47,13,47_title_title ix_ix_harassment,"['title', 'title ix', 'ix', 'harassment', 'sexual', 'school', 'sexual harassment', 'final rule', 'discrimination', 'rule']","['education title ix final rule', 'department education title ix', 'provisions department education title ix', 'education title ix', 'department education title ix final', 'education title ix final', 'title ix coordinator', 'title ix final rule', 'title ix', 'title ix final', 'provisions department education title', 'sexual harassment', 'ix coordinator', 'major provisions department education title', 'discriminatory harassment', 'department education title', 'ix final rule', 'education title', 'harassment', 'summary major provisions department education', 'provisions department education', 'school education program', 'ix', 'school education program activity', 'ix final', 'discrimination policy procedures filing internal', '830 anti discrimination policy procedures', 'discrimination policy procedures', 'major provisions department education', 'school education']","['title', 'title ix', 'ix', 'harassment', 'sexual', 'school', 'sexual harassment', 'final rule', 'discrimination', 'rule']","['education title ix final rule', 'department education title ix', 'provisions department education title ix', 'education title ix', 'department education title ix final', 'education title ix final', 'title ix coordinator', 'title ix', 'major provisions department education title', '830 anti discrimination policy procedures']","['\n        Title IX: Final Rule on Sexual Harassment in Schools', '', '', '', '', '', '', '', '', '']",
49,48,13,48_sex_recipient_students_recipient shall,"['sex', 'recipient', 'students', 'recipient shall', 'members', 'basis', 'shall', 'members sex', 'pregnancy', 'activity']","['provided students sex', 'interscholastic intercollegiate club intramural', 'intercollegiate club intramural', 'intercollegiate club intramural athletics', 'interscholastic intercollegiate club intramural athletics', 'students sex', 'intramural athletics', 'club intramural athletics', 'interscholastic intercollegiate', 'interscholastic intercollegiate club', 'scholarships', 'club intramural', 'intercollegiate', 'provided students', 'intercollegiate club', 'extracurricular activity', 'intramural', 'athletics', 'members sex', 'extracurricular', 'class extracurricular', 'class extracurricular activity', 'recipient operates sponsors', 'education program activity', 'participation', 'shall basis sex', 'financial assistance', 'restricted', 'student', 'recipient shall']","['sex', 'recipient', 'students', 'recipient shall', 'members', 'basis', 'shall', 'members sex', 'pregnancy', 'activity']","['provided students sex', 'interscholastic intercollegiate club intramural', 'intercollegiate club intramural', 'intercollegiate club intramural athletics', 'interscholastic intercollegiate club intramural athletics', 'interscholastic intercollegiate', 'interscholastic intercollegiate club', 'extracurricular activity', 'class extracurricular', 'class extracurricular activity']","[""\n        Label: Sex Discrimination in Recipient's Educational Programs and Activities"", '', '', '', '', '', '', '', '', '']",
